Benefit sub-Categories,MAX
Provider Network,Category B+C+D
TERRITORY,Local In-country + India + UAE
OVERALL LIMIT (Millions),Unlimited
OUT-PATIENT LIMIT (Millions),Unlimited
DAY TO DAY BENEFITS (Out-Patient),Treatment of conditions that do not require the patient to be admitted in the hospital
GP consultations within network,Covered
Specialist consultations within network,Covered
Telemedicine consultations,Covered
Prescribed Medications,Covered
"Laboratory Tests, Ultrasound and X-Rays",Covered
HOSPITALISATION BENEFITS,"Conditions requiring hospitalization, including specialist consultations, theatre, accommodation, basic radiology, medication and pathology. Subject to pre-authorisation and clinical protocols. Covered, out of overall limits"
Ward Type,Unlimited (Private ward) 
Accommodation for parent whose infant is on admission,3 days
Ambulance Services,Covered
Intensive Care ward within network,30 days  
Psychiatric hospitalization ,14 days 
Outpatient Psychiatry care (8weeks),Covered
Prosthesis & devices,"N350,000"
MATERNITY,"Baby wellness programme, Ante-natal, Including pre and post-natal care, childbirth by emergency or medically indicated elective C-section (subject to pre-authorization), maternity complications, ultrasound scans, ectopic pregnancies. Limits are per pregnancy. "
Within Leadway Hospital Network,Covered
Out of Leadway Network,"ANC + Delivery -N125,000
CS Delivery- N250,000"
Maternity complications*,Covered
Neonatal care (including incubator),21 days
Reimbursements for delivery abroad,"Up to N250,000"
Family Planning,"Pills, Injectibles, Copper IUCD, tubal ligation and vasectomy"
Male Circumcision and Ear Piercing,Covered 
Congenital anomaly treatment (Covered for all Children on the plan),To be drawn out of Major diseases limit.
IMMUNISATIONS,"Only drawn from mother’s benefit within 30 days of baby’s birth or until baby is registered as an enrollee, whichever is earlier."
"NPI Immunization for 0-5 year: BCG, Measles, DPT, Oral polio, Vitamin A supplementation, Pentavalent vaccine,Yellow Fever Measles, Hepatitis B, HIB ",Covered
"Additional Immunisations (For ages 0-5 years): Chickent Pox, MMR, Pneumococcal,  Meningitis, Typhoid, Rotavirus, Hepatitis A",Covered
"Addition Immunization (above 6 - 17 years): Yellow Fever, Meningitis, Hepatitis B",Covered
HPV VACCINE (age 8 – 17 years)At Government designated centers,COVERED
BABY WELLNESS PROGRAMME,Covered
MAJOR DISEASES,"Cancer treatment (Chemotherapy, medication, surgery), Major Organ Diseases- Kidney Dialysis, Organ transplants, Other major Organ diseases. All drawn from major disease limits, subject to overall limit and pre-authorisation"
Major Disease limit,N 5 Million
ACUTE RENAL DIALYSIS,
Auto Immune (Lupus Coverage),N 1 Million
SURGERIES,"This provide cover for minor, intermediate and Major surgeries including the cost of admission, surgeon, nursing, anesthesia, theatre, drugs and other consumables. Covered from the overall limits and subject to preauthorization"
Surgeries,"Minor, Intermediate, Major Surgeries "
Laparoscopic Surgeries,N 1 Million
OPHTHALMOLOGICAL,Treatments of the eye
"Primary eye care (consultation, examination, simple/primary infection, medications, eye tests)",Unlimited
Lenses & Frames (Once every two years),"N 50,000"
Surgeries subject to pre-authorization and overall limits,"Minor, Intermediate, Major Surgeries "
ENT,"Ear, Nose & Throat Treatments"
Treatment of ENT diseases,Covered
Surgeries subject to pre-authorisation,"Minor, Intermediate, Major Surgeries "
DENTISTRY,"Treatments of the teeth, all drawn from out-patient limits"
Primary (Basic) Dental,"N 250,000"
Secondary (Specialised) Dental,
DIAGNOSTICS,Medical investigations required to diagnosis condition of patient
Pathology (laboratory services),Covered 
Basic Radiology (black & white X rays & abdominal & pelvic ultrasonography),Covered 
Fertility Services (consultation & investigation only),"Counseling, USS, SFA, HSG, Hormonal Assay  (Covered up to 75,000)"
"Advanced Investigations- Echochadiogram, MRI, CT scan, Electrocardiogram (ECG), Spirometry, Electroencephalogram",Covered 
PHYSIOTHERAPY,Covered and subject to pre-authorisation
Physiotherapy sessions,18 sessions
"EXTERNAL MEDICAL DEVICES & APPLIANCES such as crutches, neck collars etc  Limits are per incident. Subject to overall limits and pre-authorisation",Covered inclusive of Wheelchairs 
CHRONIC DISEASES TREATMENT,"Conditions that require continuous treatment for more than 3 months. For example, hypertension, diabetes, HIV, asthma and so on. Treatment and medication covered from chronic conditions limits, subject to out-patient limits. Subject to pre-authorization"
"Chronic Diseases consultations with GP/Specialists, pathology, Chronic Diseases medication",Unlimited
Equipment for chronic conditions monitoring,Glucometer or Sphygmomanometer  
ROUTINE HEALTH CHECKS (Offered as a complimentary benefit). Subject to pre-authorisation,"Physical examination, BMI, Urinalysis, PCV, blood pressure, blood sugar, E/U/CR, Liver Function Test,Chest x-ray, serum cholesterol, Mammogram, cervical smears every 2 years for women > 30 years, PSA for men above 40 yrs"
ADDITIONAL BENEFITS,
Mortuary,Limit of 0.2million per annum
"On-site Health Checks , Health Talks/ Education forum or wellness fairs",Covered
Second opinion service by Experts local and abroad,Covered
Use of Gym and Nutritional Stores,Covered
Travel Insurance on Principal,One year
Employee Assistance Programme (EAP),Covered
Free Uber ride to Network Hospital,Covered
Medically indicated Covid 19 testings ,Covered
