_month,claim_count,Amt Paid_total,Units Paid_total
2024-07,4598,32759647.97,22769.6
2024-08,3800,35223071.46,18859.0
2024-09,3500,32215921.8008,16918.0
2024-10,3508,32571475.72,17895.5
2024-11,3157,26167728.69,16151.0
2024-12,3314,27307826.77,15867.0
2025-01,3410,29727395.17,20449.5
2025-02,3338,24601451.89,16019.5
2025-03,3609,31433020.23,19741.5
2025-04,3402,26707064.08,16051.5
2025-05,3258,29740971.54,16386.2
2025-06,3479,30952491.275,37268.03
2025-07,4265,38524910.58,71919.5
2025-08,6111,31138966.95,1462708.5
2025-09,4039,36210922.285,20175.0
2025-10,3903,34577231.64,17909.0
2025-11,3765,34803617.57,20986.0
2025-12,2964,24458987.42,15254.0
2026-01,3275,35630159.77,16878.0
2026-02,2841,23125256.31,15866.0
2026-03,111,1428824.8,183.0
